,text,sentiment,pred
0,Die @Linksfraktion im Bundestag hatte vergangenen Donnerstag eine grosse Anfrage zu antimuslimischem Rassismus in Deutschland gemacht.  @ch_buchholz hält hierzu eine pointierte Rede:   https://t.co/xsuA8UZUH9  #noAfD,2,2
1,"@Eff_Ka @ben_brechtken @c_lindner @christianduerr @fdpbt @johannesvogel Sie sagen 2 Impfungen sind gut erprobt. Auch 3. Da stimme ich zu. Aber es geht mir ja darum, dass wir unserem Körper alle 6 Monate auf unbestimmte Zeit immer und immer wieder den gleichen Bauplan eines Virus „zeigen“. Und da mache ich mir halt Sorgen. Völlig unbegründet?",1,1
2,"@AcastusPrivat @MarkusS92980898 @jensspahn Bei Kindern spielt Corona keine Rolle. Zudem ist bei den 12-17 Jährigen die Impfkamagne fertig. Die Erstimpfungsquote bewegt sich kaum noch bei denen. Jeder hatte sein Angebot. Damit ist Corona fertig. Du bist ein Kinderhasser, weil du immer weiter machst mit dem Corona Wahnsinn.",1,1
3,Der neue #CDUVorsitz also @_FriedrichMerz - das ist jetzt schon mehr als 30 Minuten bekannt und @MickyBeisenherz bis dato noch ohne Statement. Bin enttäuscht. Filterkaffee schon alle heute? ;),1,1
4,"@MatthiasHauer @WerteUnion Das mag zwar sein, doch dafür greift mir der Bundesvorstand der @CDU (@akk, @PaulZiemiak) und auch der Parteivorstand der @CSU m.E. nicht hart genug gegen diesen widerwärtigen braunen Abschaum durch. Lippenbekenntnisse reichen da nicht, es muss gehandelt werden.",1,1
5,@Karl_Lauterbach Ach na endlich!! Da kann ich doch mal wieder etwas von ihnen retweeten. 🙂👍🙄,0,2
6,"@marcfriedrich7 @CDU @spdde @EskenSaskia @RegSprecher @diegruenen Twitter nicht zu viel, ansonsten kauft bald keiner mehr deine Bücher 🤣🤣",1,1
7,"@Markus_Soeder Nix von dem was du tust ist in irgendeiner Weise legitimiert #Södolf außer man nimmt die die ""#Demokratie"" der DDR als Vorbild. Deine ""Werte"" sind nix wert, weil sie völlig willkürlich und nichts über irgendetwas Aussagen.R-Wert? Verdopplungszeit?Jetzt Inzidenz? Schmierentheater!",1,1
8,@Weserlied @satisfymysoul93 @Holger_Lucius @cem_oezdemir Bekannte hat als Erzieherin ein Jahresbrutto von rund 50k€...,2,2
9,@BorisNMoellers @_FriedrichMerz Ich übrigens auch. Dieses Bild von meiner Tochter und mir hatte mir ein guter Freund entsprechend gephotoshopt und mir zugesendet. Mir gefällt es sehr!,0,0
