,text,sentiment,pred
0,@ChristianHirte @CDU @dieLinke @cducsubt Gewiss keine CxU. I🥳🤡,2,2
1,@cem_oezdemir @ABaerbock Dachte erst Sie meinen @Alice_Weidel .,2,2
2,@ToshimaDE @CDU @_FriedrichMerz Wie? Sitzt die @CDU jetzt ganz rechts? Dann sitzt die @fdp ja wieder neben der @AfD. Geschickt gemacht CDU!,0,1
3,"@SchallHeinrich @AfDimBundestag @KaufmannAfD @Alice_Weidel na wenn das ihre einzige Kritik ist, is ja alles knorke. 🥱",2,2
4,"@simbosan Nope, @OlafScholz muss sich entscheiden, ob er den Auftrag, was zu ändern, annimmt und die Union auf die Bank schickt, oder ob er sich für weiter so wie bisher entscheidet und die SPD beim nächsten Mal endgültig weg vom Fenster ist. Die SPD-Zugewinne waren eindeutig pro Wechsel!",1,1
5,@Lambsdorff @MiKellner @ABaerbock Der zweite Absatz ist auch fragwürdig. Kann @Oliver_Krischer das belegen ?,1,1
6,@steps0815 @Arndt_Klocke @MaAhl5 @Oliver_Krischer @ArminLaschet @HendrikWuest @CDUNRW_Fraktion @landnrw @MonaNeubaur @schaeffer_nrw @BriHasselmann @gruenenrw @GrueneFrakNRW @diegruenen Und ja die würde zum einen den LKW Verkehr verringern und zum anderen das Pendeln nach Ludwigshafen und Manheim vereinfachen,0,2
7,"MUSS MAN SICH WIRKLICH MAL AUF DER ZUNGE ZERGEHEN LASSEN: EKLIGER SCHLEIMSCHEISSER ÄTZT IM WAHLKAMPF GEGEN ALLES UND JEDEN - UND VERSUCHT JETZT, NACHDEM ER VERLOREN HAT, SICH EINZUSCHLEIMEN. DAS IST FUCKING ERBÄRMLICH. @ArminLaschet #niewiederCDU @CDU  https://t.co/tNC0gxpQcG",1,1
8,@MMango66 @susigroh1 @MM33842521 @Goldammerfeder @systemanalysen @Karl_Lauterbach @CDU @spdde @fdp @Die_Gruenen @maybritillner @maischberger @c_drosten @rki_de Ich habe lediglich die falsche Aussage von @susigroh1 richtiggestellt.,2,2
9,@PaulZiemiak Paulchen Ziemiak redet mal wieder gequirlte Scheiße.,1,1
10,"@cducsubt @ntvde @rbrinkhaus Ihr Politiker, gleich welcher Partei, seid eine verdammte Schande für die deutsche Bevölkerung.  Und was ist? Euer Zugriff auf Steuergelder bringt euch Millionen-Villen ein, die man ganz klar nur durch Lobbyismus bezahlen kann. Aber man will ja Vermögen sichern, gell.",1,1
11,"@b_riexinger Noch 'ne Linksextreme (lt. Verfassungsschutz) wäre Ihnen sicher lieber gewesen, Sch... Demokratie aber auch.",1,1
12,@TiloJung @dieLinke Ich bin gegen Kindesmissbrauch durch die Kirche und will diese beenden. Muss ich jeden Fall kennen?,1,1
13,@Markus_Soeder @CSU Das böse lebt weiter!! Satanisten Bande,1,1
14,"@Karl_Lauterbach @TheLancet Wenn es ein wenig kälter wird, haben wir hier täglich viele kleine Waldbrände! Privater ""gemütlicher"" Holzofenwaldbrand, wird doch sogar gefördert, also was soll die Aufregung?",2,1
15,"@c_lindner Lindner: über Öffnung nachdenken. Miosga: aber die Mutanten.. gefährlich, Wissenschaftler bezeugen das. meine Frage: wo ist die Evidenz? Miosga: wo hat die FDP Fehler gemacht?  Meine Frage: schon mal die Regierung gefragt?",1,2
16,@FJKauder @CanselK @spdbt @spdde @hubertus_heil @dgb_news Da würde mich aktuell die Meinung von Heike Baehrens etwas mehr interessieren. #justsaying  https://t.co/I8gz7LwmTJ,2,2
17,@Steffen32801885 @bond667 @jensspahn stimmt. nehm ich daher jeden Tag. zusätzlich,2,2
18,"@ralphkamphoner @KuehniKev @spdde Moment, ich lasch das mal...",2,2
