,text,sentiment,pred
0,@PeterBofinger @_FriedrichMerz @handelsblatt @_FriedrichMerz  da war doch was mit Wirtschaft........ 🤔? Ach ja ....... Bierdeckel🍻 😉,2,2
1,"@it_is_me_thomas @MeinAugenlicht @Die_Gruenen naja, mit dem HartzIV regime,  der Riesterente, Steuersenkungen und - abschaffungen für die Reichsten haben die @Die_Gruenen die @FDP neoliberal locker überholt.",1,1
2,@Karl_Lauterbach @JanJosefLiefers Mit mir wird Karl Lauterbach kein Gesundheitsminister!,2,1
3,"@baldrian12 @AnneWillTalk @annewill @Karl_Lauterbach @GoeringEckardt @n_roettgen @merkel_wolfgang @rosidaggi @DasErste Kann ja jeder machen, wo ist das Problem ?",2,2
4,"@Eva0112 @dieLinke @IGMetall Tarif entsprechend der Produktivität und den Lebenshaltungskosten vorort. An vorderster Front die Kosten des Wohnens kein Vergleich z.B. zu Stuttgart, Düsseldorf usw.",2,2
5,"@SaschaBo70 @JoanaCotar Deutschland muss ""alles rein"" lassen, weil durch den demographischen Wandel kaum junge Leute in diesem Land leben, ergo wir brauchen Einwanderer die später meine und deine Rente bezahlen.",2,2
6,"@MarioWettlaufer @Markus_Soeder Weil die Kinder nicht gefährdet, noch einf Gefahr für andere sind:",2,2
7,@CDU Was für ein Unsinn.,1,1
8,@awkahl @pkbrln @ben_brechtken @larsklingbeil @OlafScholz @dieLinke 🤔 bei der Linkspartei sitzt HEUTE noch im Ältestenrat Hans Modrow 🤗 Die Rechtsnachfolge wurde ja auch gerichtlich von den Linken erkämpft 🤷,2,2
9,@BMG_Bund @jensspahn Glauben Sie echt das sich die unter 65 jährigen mit der billigsten Plörre impfen lassen?  https://t.co/MCORpvbnV0 Wann machen Sie endlich Ihren verdammten Job? Ein Debakel nach dem Anderen! Sie werden durch ihr permanentes Versagen zum Teil des Problems!,1,1
10,"@manu_berlin @Engel_Re @spdberlin @FranziskaGiffey Schämt Euch mit dieser Täuscherin und Lügnerin Wahlkampf zu machen! @spdde, für den Erfolg seine Seele zu verkaufen (u.a. den Respekt für ehrliche Arbeit), kann nicht der Weg sein. Bitte bringt @spdberlin von diesem Irrweg ab!",1,1
11,"#FDP_Gesundheitsminister Egal,ob das jetzt ein Versuchsballon ist, was  WählerInnen zumutbar wäre.Der Neoliberalismus wird @spdbt/ @GrueneBundestag nach Kräften vor sich hertreiben. Eine bewegliche außerparlamentarische demokratische Bewegung muss sich formieren und mitregieren!",2,1
12,"@FabianBlondel @AfD_Muenster @Alice_Weidel @AfDimBundestag @AfD @Tino_Chrupalla @DanielHaseloff @StBrandner @AfD_Thueringen @AfDBrandenburg @AfD_LSA @Mary_Khan94 @S_Muenzenmaier @rebew_lexa @germanniag @h_weyel 😳Den Tweet an einem Freitag, man hätte wenigstens das Wochenende zur Erholung.",2,2
13,@Olire4 @DerFuch03279694 @BriHasselmann Und das stimmt eben nicht!  Typisches Strohmann Argument also.  Sie fallen auf die schöne neue Welt der schnellen Kommunikation in Bildern herein.  Dabei ist die implizierende Manipulation der Fakten noch gar nicht berücksichtigt.  Beispiel: Rotfärbung der Wetterkarte.,1,1
14,@panemetc62 @Jakob00289791 @ZDFheute @Karl_Lauterbach @Ricarda_Lang Meinst du mit „ganz viele“ die Speerspitze deutscher Universalgelehrter aka. Querdenker?,2,2
15,"@FischwaffeI @Hagen @woelpke @technikjuli @ArminLaschet Der Akku beim Nexo ist mit 1,56 kEh in der Tat nur ein Pufferspeicher, die FC braucht tatsächlich Platz, in etwa wie ein Verbrenner (also kein Froot/Frunk), aber der Antrieb selbst ist ebenso E-Motor wie bei Akku-EV und nicht größer. Bitte Fakten recherchieren.",2,2
16,"@_FriedrichMerz @ArminLaschet Ahh, ja, Sie schauen aber nicht zufällig das gleiche #Triell wie ich, oder? - Laschet ist nichts anderes als eine Luftpumpe, niemand weiß dies besser als Sie selbst, denn eigentlich wären Sie gerne an seiner Stelle! Zum Glück wird Laschet nicht Kanzler und Sie verschwinden wieder",1,1
17,@asinaaurea @Tierverliebt181 @Karl_Lauterbach Was laberst du? Einfach mal Zahlen gewürfelt oder wie? 🥴🤦🏼‍♀️,1,1
18,"@BornersErika @Dianaownz100 @ErnstKaiser3 @XY_____Z @Karl_Lauterbach Wahnsinn, bei uns in BW waren die Kids zum Großteil - mit Ausnahme der Abschlussklassen - seit November gerade 4 mal in der Schule",2,1
19,"@witch_carlo @Karl_Lauterbach Versuch mich Mal zu verstehen. Ich lasse mich mit Astra impfen und muß dennoch Maske tragen und ahal Regeln einhalten. Lasse ich mich nicht impfen, muss ich das alles auch. Wieso? Schützen Masken und ahal am Ende gar nicht? Oder ist die Impfung sinnfrei?",1,2
20,"@StBrandner MMn ist die AfD die erfolgreichste Partei in DE. Andere Parteien bekommen kostenlose Wahlwerbung durch den ÖRR und für sie wird der rote Teppich ausgerollt. Die AfD hingegen wird ständig fertig gemacht, durch den Dreck gezogen und fährt trotzdem nennenswerte Wahlergebnisse ein.",1,1
21,@michawitcz @Gametraveller_ @Lachdochmal2 @BR24 @prof_freedom @Karl_Lauterbach Sagt man sowas in katholischen Kreisen? Gut dass ich ausgetreten bin. Halleluja🙈,0,1
22,@c_lindner @fdpbt Haben Frau Gebauer und Herr Stamp die Luftfilteranlagen für die Schulen und Kitas in NRW schon besorgt?,2,2
23,@Karl_Lauterbach @JanJosefLiefers Jep✌️hab ich gestern auch schon so gesehen,2,2
24,@morgenmagazin @CSU @Bild @nzz @dieLinke Bürger fordern erneut eine Debatte über:  PKW-Maut-Debakel; Schutzkleidung-Debakel (Anfang Corona); geschlossene Krankenhäuser; eingestellte Intensiv-Bettenfinanzierung; Test-Debakel; Kühlketten-Debakel und vieles mehr! Die #BTWahl2021 wird es richten😡🔚👍,1,1
25,"Legalisiert Marihuana jetzt!   @OlafScholz, @Larsklingbeil, @EskenSaskia, @KuehniKev, @c_lindner, @ABaerbock, @Wissing  Kopieren, Einfügen, Neuen Tweet schreiben! Unsere Forderung nach #Legalisierung soll auch gehört werden!",2,2
26,"@BahnkundenV @BMVI @AndiScheuer @CSU Also die SPD findet das nicht schlimm. Die hat sogar die 2,8 Mrd. Euro für das A3-ÄPP freigegeben. @larsklingbeil @EskenSaskia",2,2
27,#klartext @ArminLaschet  Sie Lügenbaron!,1,1
28,@JoMeils @MarcoBuschmann @Wissing @fdp Beispiele?,2,2
29,"@JoanaCotar Die Indische Variante kommt, so sicher wie das Amen in der Kirche. Schaut euch bitte England an. Dann nicht Geimpft ist ein Risiko. Ich bin geimpft da ich starkes Asthma habe. Ich würde es aber jedem Empfehlen",2,2
30,"@Lovis_Lex @n_roettgen @cducsubt Und @fdp @c_lindner ..ich schaue hin, wie ihr Euch positioniert, wie ihr als Mitglieder des Bundestages und Mitglieder der Landesregierung agiert.",2,2
31,"@HBraun Glauben Sie eigentlich wirklich noch selber, was Sie verlautbaren? Das würde mir ernsthaft Sorge über den intellektuellen Zustand des Kanzleramtes machen.",1,1
32,@sensenmann2706 @JoanaCotar Nicht der Einzige..,2,2
33,"@Halil7714 @Kaleva87952915 @isabellnino @ZwitscherbTwitt @Karl_Lauterbach Wenn sie jemanden anfahren, gibt es auch öfters Zwangseinweisungen, nämlich ins Gefängnis",1,1
34,"@CDU @ArminLaschet Ihr hattet 16 Jahre Zeit, und das fällt euch 4 Wochen vor der BTW ein?  https://t.co/cdJmBoCWxL",2,2
35,@Karl_Lauterbach 😂😂😂👍  klappt es nicht den Dreck nach Afghanistan zu schicken?,1,1
36,"@Bjrn468080681 @jensspahn Wo hat das funktioniert? Sorry, Ihre Argumentation ist nicht stringent. Man sieht es daran, dass Sie wieder beleidigend werden. Setzen Sie mal NoCovid in bestimmten urbanen Bereichen um! Viel Vergnügen dabei! Wo finden denn die Infektionen statt? Die Stadt Köln hat es präsentiert",1,1
37,@Karl_Lauterbach War es nicht @Markus_Soeder der nach den MP Konferenzen als Erster einen eigenen Weg verkündete? Jetzt will er das bayrische Elend der Ampel in die Schuhe schieben!,1,1
38,@Jordnt4 @KathaSchulze Was meinen Sie mit krank werden?   Quelle RKI? Die wissen nicht mal wie viele geimpft sind!  https://t.co/bCBUIVjrlG,2,2
39,@konopka_p @Max842R @fdp @c_lindner @annewill @GoeringEckardt Was für nen extremer Unfug. Das Problem der Pandemie immer nocg nicht verstanden uff,1,1
40,@Kaffeejunkie5 @derspiegel @jensspahn 🤣 ist das diese querdenker aluhut fraktion? Die nach Quellenanfrage direkt beleidigt sind. Okay 🤗,1,1
41,"@zeitonline @PaulZiemiak @ArminLaschet Etwas aus der Blume: Ach du liebe Zeit, jetzt holt man wieder die Spiegel aus der Tasche. Kennt ihr etwas angelehnt, an ein Märchen Schneewittchen ""Spieglein Spieglein an der Wand, wer ist der größte im ganz...?""",1,2
42,@CSU @Markus_Soeder Euch glaub ich kein Wort mehr!!! Unwählbar!  https://t.co/R1fGIgUsvy,1,1
43,"Für alle noch Unentschlossenen. Falls ihr wählt bei der #btw21 dann bitte die Partei, die am Ende für 🙈#Klimawandel #Klimaschutz #co2reduction #coronavirus #Digitalisierung #Grundrechte #Bildung  steht. @cducsubt @spdbt @Die_Gruenen @fdp @dieLinke 🙈🤷🏻‍♂️😅😇 Wen denn nun wählen?  https://t.co/qPgmOIj9fd",2,2
44,"@tobsn1995 @AlmanAlpaka @waswiller @SimonDent @c_lindner 1000 im Monat verdienst, aber nur 600 ausgibst, wirst Du reich.  Machst Du Schulden, um die Differenz von deinen 15k Ausgaben zu deinen 10k Einnahmen zu finanzieren, dauert es etwas länger bis Du bankrott bist. Auf alle Fälle hast Du danach noch mehr Ausgaben (Schulden zurück",2,2
45,"@MarcoBuschmann @fdp Zu Punkt 3 wuerde ich mich nicht  so weit  aus dem Fenster  legen, da ist schon mancher  gestrauchelt .",2,1
46,@cducsubt @juergenhardt Alles klar. Eher nicht oder?,2,2
47,"@Minnimaus0815 @ChristianReisi2 @JanLo90036653 @Karl_Lauterbach Ja lass mal dem Virus sagen, dass jetzt schluss ist. Oh moment, das hat ja gar keinen Verstand und kann einen nicht verstehen. Und hat damit sehr viel mit den Impfgegnern gemeinsam.",1,1
48,"@EskenSaskia Innovationen sind bereits da. Solarzellen, Windkraft etc.  Wir müssen von Wachstumsmantras weg, echte Veränderungen einleiten, nicht aktuelle Abläufe mit ""Erfindungen"" am Leben halten. Die Aufgaben und Lösungen sind NICHT unbekannt, sie verschieben nur aktuelle Machtstrukturen.",2,1
49,"@LangzeitC @MMissingGermany @eskabadu @Frontal21 @ZDF @ChariteBerlin @Karl_Lauterbach @HBraun @jensspahn @AnjaKarliczek @Brehm_inNBGNord @NadineSchoen Ein Prof. sagte einmal zynisch in meine Richtung, hören sie auf das Sprachrohr ihres Kindes zu sein. Als er mein Kind dann was fragte, die fast stimmlose Stimme nicht verstehen konnte, schaute er mich fragend an, ""ohne Worte""",2,1
50,@jensspahn @CDU Das sagt der richtige! Wer spaltet denn seit Monaten..?,1,1
51,"@MonikaHerrmann1 @MiKellner @ABaerbock Ich finde auch krass, wie Wissing die Grünen gleich mal über die BILD provoziert. Ich weiß viele, die sich fragen, wozu sie grün gewählt haben. Gehöre selber auch dazu.",1,1
52,"@Penthesilea0201 @edjukeischen @arcon74 @Karl_Lauterbach Ich antwortete bereits auf diese Art Kommentar, siehe oben.",2,2
53,"@StompSava @Coronahotspot Danke, Herr #Wieler! Nun muss das nur noch ankommen.  @RegSprecher @HBraun  Bitte setzen Sie zudem bundesweiten die Präsenzpflicht aus.  #PraesenzpflichtAussetzen",0,2
54,"Dass das #Energiegeld, das nach einem höheren #CO2Preis laut Programm der @Die_Gruenen pro Kopf zurückgezahlt wird vor allem einkommensschwächere Familien und kleineren Wohnungen mehr Geld zurück gibt als sie bezahlen wird konsequent von @CSU, @CDU, @fdp verschwiegen. Unredlich!",1,1
55,@Wyland23960219 @AnneWillTalk @annewill @EskenSaskia @c_lindner @CerstinGammelin @DasErste @FoxyLeonie @BILD @Die_Gruenen Wenn ich mir die Ausgaben der letzten Tage und Wochen so anschaue .. Könnte hinkommen! 👍,2,2
56,"Der @ArminLaschet wirkt. Nur die @CDU merkt das nicht.   Noch habt ihr Zeit, den KK auszuwechseln.",2,2
57,"@Markus_Soeder Hallo Herr Söder, Sie haben mit Ihrem Zahlengewürfel und zurückhalten von Daten auch noch Ihre letzte Glaubwürdigkeit verloren.",1,1
58,"@Volksverpetzer @ABaerbock @OlafScholz @ArminLaschet @Hagen Ich habe nur die Angst, wieder mal, das man mit Kompetenz als Kanzlerkandidat bei zu vielen Wählern nicht glänzt. Die größte Wahlbeteiligung liegt bei den 60+ Bürgern, die sollen eine Frau die halb so alt ist an die Spitze wählen, nur weil sie den Job kann!?🤯",1,1
59,"@cducsubt @BMG_Bund Hackts? Wie unsensibel muss man eigentlich unterwegs sein, um so einen Müll zu twittern? Scheiß drauf was die Bürger sehen, wir sind die Größten!",1,1
60,"@Hobo616161616 @TiloJung @dieLinke Das kann sogar richtig sein (ganz ehrlich: ich weiß es nicht), aber Indizien, die für eine solche Analyse sprechen, wären schon nett.",0,2
61,@c_lindner @Karl_Lauterbach So wie der Angriff der Linksradikalen auf einen AfD Stand ?,1,2
62,@seefahrt24 @PaulZiemiak @ArminLaschet 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣  Seid ihr da oben wirklich so blöd? Glaubt ihr den Scheiß den ihr erzählt?  NEIN zum Covid-19-Test! JA zum IQ-Test für Politiker!,1,1
63,"@RWF993 @PN46PN46 @Markus_Soeder @CSU @MarkusBlume @hahnflo Ist das so abwägig? 🤔 Die Basis würde geschlossen zur CSU ""über""treten. Und Angela Merkel wäre forever die letzte Kanzlerin der CDU.",2,2
64,"@Depend6x @Salome_herself @OpheliaBDSM @AfD @GruenerMist2021 @CDU @spdde @Die_Gruenen @CSU @fdp @dieLinke Ich find schon, dass es einen Unterschied zwischen Stroer und einem nicht existierenden Unternehmen gibt. ZfPS hat schon viel Scheiße verzapft, das Ding ist, dass sich die AfD nur wieder als Opfer der Situation statuieren wird, würde nicht dagegen vorgegangen.",1,1
65,@TechandFuture1 @dokhollidays @Karl_Lauterbach 😂Ich glaube er wollte schon damals eine Comedy Karriere anstreben...,2,2
66,@EiDee6 @KuehniKev 🤣🤣 wird es wohl nicht. Keine Rücknahme des H4 Gesetze etc pp. Dann Umweltprogramme auf Kosten der Allgemeinheit ohne die Rechen der Reichen zu besteuern. Und die Armen zu entlasten. Usw. Ich rechne in 4 Jahren mit 15 plus x für die AFD.,1,1
67,"@Regendelfin @PaulZiemiak ... und schlagartig wird mir klar, wer die schwarze Null ist. 🤯  https://t.co/wHnZTSPxx7",1,2
68,"@CarloMasala1 ""Es kommt letztlich auf die Kreisverbände an; sie sind autonom.""  Das dürfte bezüglich der CDU KVs in Suhl, SM, Hibu und Sonneberg die schlechte Nachricht für die @cdu_thueringen und die @CDU sein.",2,1
69,@Aufdecker @Karl_Lauterbach Lauterbach will eine „Integrierte Versorgung“. Nach dem Vorbild Kaiser-Permanente.,2,2
70,"@udopsle @CDU @CSU Es geht hier  um Wahlkampf der von den Grünen,mit dem Leid der Menschen in Deutschland gemacht wird.Wenn du den Tweet gelesen hättest, wüsstest du es.Egal welche Partei Katastrophen für ihre Zwecke nutzt .🤮🤮🤔",1,1
71,"@jansen_hh @eduardt_s @OlafScholz @KuehniKev @EskenSaskia Komisch ich hab die beiden erst diese Woche ganz öffentlich bei Anne Will u Illner gesehen. Ziemlich klar u deutlich, ganz ohne Nebel.",2,2
