,id,username,date,sentiment,tweet,link,source_account,source_party
1000,1432673237494898692,jastebo,2021-08-31 12:54:52,,"@maischberger @Amira_M_Ali @dieLinke @Beatrix_vStorch @AfD @DasErste Warum gibt man Frau von Storch und dieser furchtbaren Partei AfD ein Forum in dieser schönen Sendung? Klimaschutz brauchen wir doch nach der AfD nicht, wir können ja nach Frau von Storch die Sonne dafür verklagen, dass es wärmer wird. #AfDrausausdenParlamenten",https://twitter.com/jastebo/status/1432673237494898692,AfD,AFD
1001,1392521582942334978,Heikoala2,2021-05-12 17:46:31,,@Markus__Lanz @MariamLau1 @Karl_Lauterbach Markus Lanz ist also heute zu Gast in der Talk-Show von Karl Lauterbach.,https://twitter.com/Heikoala2/status/1392521582942334978,Karl_Lauterbach,SPD
1002,1471852747356053504,Eisbaer_LE,2021-12-17 14:40:15,,@CDU @_FriedrichMerz Zurück in die Zukunft. Würde vielleicht als neues Motto passen.,https://twitter.com/Eisbaer_LE/status/1471852747356053504,_FriedrichMerz,CDU_CSU
1003,1459496838629838848,WernerE93875908,2021-11-13 12:22:17,,"@LisaLies12 @Beatrix_vStorch Ich habe NICHT behauptet, dass es KEINEN Muslimischen Antisemitismus gibt! Doch in D gibt es seit sehr vielen Jahren verwurzelt in Rechtsnationalen Kreisen eine tiefen AS. Siehe 3. Reich und lange davor. Nur das verleugnet die AfD, als Vogelschiss in der Geschichte Ds! Tatsache!",https://twitter.com/WernerE93875908/status/1459496838629838848,Beatrix_vStorch,AFD
1004,1436969755689299972,super_tooper,2021-09-12 09:27:42,,"@jensspahn @MikeMohring Mein Ort hat nur 200 EW und hier fährt 2x am Tag der Schulbus, mehr ÖPNV ist hier nicht.  ABER: ich wähle grün, weil vor allem die CDU dazu beigetragen hat, dass wir hier nicht ohne ein 2. Auto auskommen.  Wir wählen bessere Mobilität, und geben dann gerne ein Auto ab.",https://twitter.com/super_tooper/status/1436969755689299972,jensspahn,CDU_CSU
1005,1458687052262907908,cosworthfreund,2021-11-11 06:44:29,,@Karl_Lauterbach Dann erklären Sie mal wie man die spanische Grippe vor hundert Jahren in den Griff bekommen konnte…   https://t.co/aeQYCOmCXO,https://twitter.com/cosworthfreund/status/1458687052262907908,Karl_Lauterbach,SPD
1006,1459651012441133056,DubeAteo,2021-11-13 22:34:55,,@GoeringEckardt @bernd0811 @GrueneBundestag @c_lindner @tagesthemen Hat er nicht,https://twitter.com/DubeAteo/status/1459651012441133056,GoeringEckardt,GRUENE
1007,1458764470541500417,Sprachlos12,2021-11-11 11:52:06,,@Pat_Ruso @Karl_Lauterbach Stimmt - ist ja auch wichtiger den Anruf von der Oma anzunehmen und zu twittern anstatt sich um seinen Job als Politiker zu kümmern.,https://twitter.com/Sprachlos12/status/1458764470541500417,Karl_Lauterbach,SPD
1008,1464339850115563523,Kasbrodi1,2021-11-26 21:06:41,,"@Karl_Lauterbach Brauchen wir jetzt eine 4., ungefähr eine Woche nach der 3.?",https://twitter.com/Kasbrodi1/status/1464339850115563523,Karl_Lauterbach,SPD
1009,1377937561356763138,EYEHATEPEOPLE1,2021-04-02 11:54:50,,"@jensspahn Naja. Bis es soweit ist, bist du aus dem Amt und daher kümmern deine Voraussagen auch nicht, Jensi.",https://twitter.com/EYEHATEPEOPLE1/status/1377937561356763138,jensspahn,CDU_CSU
