,id,username,date,sentiment,tweet,link,source_account,source_party
0,1460589265759481859,vdr137,2021-11-16 12:43:12,,"@FrankieLix2020 @andfra9 @GoeringEckardt @ABaerbock @OlafScholz @spdbt @GrueneBundestag @fdpbt @LieblingXhain @ninastahr Ist doch egal, was das RKI sagt, weil....  Ja, FDP, SPD &amp; Grüne, warum eigentlich? Wir Eltern warten immer noch auf eine Erklärung, warum ihr unsere Kinder durchseuchen wollt. Besonders schön wäre eine stichhaltige &amp; plausible Erklärung.",https://twitter.com/vdr137/status/1460589265759481859,OlafScholz,SPD
1,1470141403045019654,karsten_mo,2021-12-12 21:19:59,,Alter! Der @Karl_Lauterbach ist ja schon wieder in einer Talkshow. Ich dachte es endet jetzt und er hat zutun! #karllauterbach #annewill,https://twitter.com/karsten_mo/status/1470141403045019654,Karl_Lauterbach,SPD
2,1405950770466496521,BalianIbelin65,2021-06-18 19:09:19,,@Karl_Lauterbach Sie sehen auch so aus.,https://twitter.com/BalianIbelin65/status/1405950770466496521,Karl_Lauterbach,SPD
3,1350126525220315136,DeineMeinungung,2021-01-15 17:03:42,,"@PaulZiemiak @CDU 2/x »Wenn die Bürger die Wahl hätten zwischen der parlamentarischen Demokratie, bei der die gewählten Abgeordneten Entscheidungen treffen und Gesetze beschließen und direkter Demokratie, bei der die Bürger in Sachfragen durch Volksabstimmungen entscheiden könnten, würden sich nur",https://twitter.com/DeineMeinungung/status/1350126525220315136,PaulZiemiak,CDU_CSU
4,1443988844500733952,BaumannProf,2021-10-01 18:19:03,,@ArminLaschet Laschet ist als CDU-Parteivorsitzender peinlich. Ein neuer Parteivorsitzender der CDU muss gewählt werden. Laschet soll sofort zurücktreten!  @CDU @CDUNRW_de @csu_lt @ArminLaschet @CSU @csu_bt @CDUNRW_de @CDU_CSU_EP @Wirtschaftsrat @CDU_BW @cdu_hessen @cdurlp @welt @FAZ_Politik,https://twitter.com/BaumannProf/status/1443988844500733952,CDU,CDU_CSU
5,1396429761682022400,animal__freedom,2021-05-23 12:36:14,,.@ABaerbock @Die_Gruenen @cducsubt @spdbt @dielinke @fdpbt : So viel Wald vernichtet unser Konsum  https://t.co/NzwU03kjXa #vegan #palmoilfree #vegan #cancelanimalag #Erdueberlastungstag,https://twitter.com/animal__freedom/status/1396429761682022400,cducsubt,CDU_CSU
6,1382709511153188879,Conni_Moehring,2021-04-15 15:56:51,,@Karl_Lauterbach auch die Lehrkraefte werden nicht geimpft. Geht gar nicht! #bildungabersicher,https://twitter.com/Conni_Moehring/status/1382709511153188879,Karl_Lauterbach,SPD
7,1347699309492494341,udsch,2021-01-09 00:18:49,,@afd_wallduern Mit keinem Wort fordert er dieses Sperren aber wieder typisch @AfD  lügen verbreiten.,https://twitter.com/udsch/status/1347699309492494341,AfD,AFD
8,1464271741040177152,Lorenz13130912,2021-11-26 16:36:02,,"@Markus_Soeder @Karl_Lauterbach Guten Abend. Bei all den fassungslos machenden,  rasanten Entwicklungen frage ich Sie,  warum wir nicht einen sofortigen,  vierwöchigen Lockdown machen können.  Es wäre auch ein Signal an die Pflegekräfte und Ärzte",https://twitter.com/Lorenz13130912/status/1464271741040177152,Karl_Lauterbach,SPD
9,1371730424196702209,einschmaus,2021-03-16 07:49:53,,@Schmidtlepp @jensspahn SpahnScheuer,https://twitter.com/einschmaus/status/1371730424196702209,jensspahn,CDU_CSU
10,1390305016808828929,hellics,2021-05-06 14:58:41,,"@PDominke @AfDimBundestag Pauschale Verunglimpfung ist ein beliebtes Hobby, also kein Grund zur Sorge. Es gab zu allen Zeiten Gruppen, auf die man eingehackt hat im Gefühl der trauten Gemeinsamkeit der rechthaberischen Mehrheit. Ihnen fiel ja auch nichts Anderes zum Thema ein.",https://twitter.com/hellics/status/1390305016808828929,AfDimBundestag,AFD
11,1398151808154013697,yopiti,2021-05-28 06:39:02,,@LucScho @HHumorlos @Li_St_ Ach muss diese Eigenwahrnehmungsblase schön sein. Hat @jensspahn eigentlich schon die Liste der Spender vorgelegt? Wer hat eigentlich noch alles an Maskendeals verdient? Welchen Konzern fördert @peteraltmaier heute trotz Infektionsgeschehen? Was hat @andreasscheuer geleistet?,https://twitter.com/yopiti/status/1398151808154013697,andreasscheuer,CDU_CSU
12,1435580015090061320,DerKmpfer4,2021-09-08 13:25:22,,@StBrandner Die besten dummköpfe,https://twitter.com/DerKmpfer4/status/1435580015090061320,StBrandner,AFD
